id	name	rarity	description	requirements	effects	end
24	Lightning struck a large bould	-1	Lightning struck a large boulder and afterwards a handful of gems could be found where the boulder had been cracked.	pop0ok 1|luck 2	2d6vis A	
25	A handful of gems have been fo	-1	A handful of gems have been found in the shards of a broken mirror.	pop0ok 1	1d6vis G	
26	A handful of gems have been fo	-1	A handful of gems have been found in the shards of a broken mirror.	pop0ok 1|luck 1	1d6vis G	
27	A handful of gems have been fo	-1	A handful of gems have been found in the shards of a broken mirror.	pop0ok 1|luck 2	2d6vis G	
28	A magical bird of wondrous col	-1	A magical bird of wondrous colors has been found. Small gems were hidden in its feathers.	land 1|unluck -1	1d3vis Elemental	
29	A magical bird of wondrous col	-1	A magical bird of wondrous colors has been found. Small gems were hidden in its feathers.	land 1|luck 2	1d6vis Elemental	
30	A magical bird of wondrous col	-1	A magical bird of wondrous colors has been found. Small gems were hidden in its gut.	land 1|luck 3	1d6vis Elemental	
31	A magical fish of wondrous col	-1	A magical fish of wondrous colors has been caught. Small gems were found in its belly.	land 0|unluck -1	1d3vis Elemental	
32	A magical fish of wondrous col	-1	A magical fish of wondrous colors has been caught. Small gems were found in its belly.	land 0|luck 2	1d6vis Elemental	
33	A magical fish of wondrous col	-1	A magical fish of wondrous colors has been caught. A handful of small gems were found in its belly.	freshwater 1|luck 0|magic -1	1d6vis Elemental	
34	A handful of gems have been fo	-1	A handful of gems have been found in a small stream.	land 1|unluck -1	1d3vis W	
35	A handful of gems have been fo	-1	A handful of gems have been found in a small stream.	land 1|luck 1	1d6vis W	
36	A few magic gems have been fou	-1	A few magic gems have been found in an enormous icicle.	pop0ok 1|land 1|cold 2	2d6vis W	
37	A handful of magic gems have b	-1	A handful of magic gems have been found in a deep ravine.	pop0ok 1	1d6vis E	
38	A handful of magic gems were f	-1	A handful of magic gems were found under a huge rock.	pop0ok 1|unluck -1	1d6vis E	
39	A handful of magic gems were f	-1	A handful of magic gems were found under a huge rock.	pop0ok 1|luck 2	1d6vis E	
40	A handful of magic gems were f	-1	A handful of magic gems were found under a huge rock.	pop0ok 1|luck 3	2d6vis E	
41	A handful of magic gems have b	-1	A handful of magic gems have been found on a starry night.	pop0ok 1|magic 1	2d6vis S	
42	A handful of magic gems have b	-1	A handful of magic gems have been found in an abandoned graveyard.	pop0ok 1|death 1	2d6vis D	
43	A few magic gems have been fou	-1	A few magic gems have been found in the moss growing in a torture chamber.	pop0ok 1|land 0	nation 5|1d6vis F	
44	A few magic gems have been fou	-1	A few magic gems have been found in the black algae covering the floors of a torture chamber.	pop0ok 1|land 0	1d6vis D	
45	A handful of magic gems have b	-1	A handful of magic gems have been found in the verdant greenery.	growth 1	1d6vis N	
46	A few gems have been found in 	-1	A few gems have been found in the split trunk of an oak.	land 1|unluck -1	1d6vis N	
47	Magical gems have been found i	-1	Magical gems have been found in the split trunk of an oak.	land 1|luck 0	2d6vis N	
48	A local slave-lord is seeking 	-1	A local slave-lord is seeking absolution for his sins. He has donated some virgins to your cause.	minpop 100|land 1|unluck -1	1d6vis B	
49	A local slave-lord is seeking 	-1	A local slave-lord is seeking absolution for his sins. He has donated all his virgins and a chest of gold to your cause.	minpop 100|land 1|luck 2|9600 70	4d6vis B|gold 150	
50	The tax collectors did a magni	-1	The tax collectors did a magnificent job and managed to tax the hidden reserves of the local lords.	minpop 800|order 1|turn 5	gold 1000	
51	A magic item has been found an	-1	A magic item has been found and transported to the arcane laboratory.	maxunrest 50|magic 3|unluck -1	magicitem 2	
52	A magic item has been found an	-1	A magic item has been found and transported to the arcane laboratory.	maxunrest 50|magic 3|luck 2	magicitem 3	
53	A market was held in the provi	-1	A market was held in the province. Merchants from far and wide gathered and there was much commerce.	turn 4|noseason 3|minpop 100|order 1	gold 500	
54	A market was held in the provi	-1	A market was held in the province. Merchants from far and wide gathered and there was much commerce.	turn 5|noseason 3|minpop 100|order 1|era 3	gold 1000	
55	A wealthy merchant from a dist	-1	A wealthy merchant from a distant land has married his daughter to a prominent priest of ##godname##. A pile of gold and a remarkable item were accepted as offerings by the temple.	order 1|dominion 5|noera 1	gold 300|magicitem 2	
56	A priest of ##godname## has be	-1	A priest of ##godname## has been blessing the crops throughout the province. People are happy, faith has increased and much wealth has been donated by merry farmers.	growth 1|dominion 3	gold 200|incdom 1	
57	A priest of ##godname## has be	-1	A priest of ##godname## has been preaching and warning people of the end of the world. People are frightened and come to the temples to seek comfort. Faith has increased and much wealth has been donated to the temple.	chaos 0|dominion 3	gold 300|incdom 1|unrest 10	
58	A wealthy merchant has donated	-1	A wealthy merchant has donated a sculpture of solid gold to the temple.	order 1|dominion 5|noera 1	gold 250	
59	A famous circus has been touri	-1	A famous circus has been touring in the province. This resulted in extra taxes in addition to the good luck that a circus always brings.	minpop 500|order 0|growth 0|maxunrest 25|noera 1	gold 200|decscale2 Misfortune	
60	A freak show with local talent	-1	A freak show with local talents has gained fame and is now known throughout the neighboring provinces as well. People are proud of their misfits and taxes have increased.	minpop 500|chaos 2|maxunrest 25	gold 150|decscale Turmoil|unrest -25	
61	Playful winds have been captur	-1	Playful winds have been captured, distilled into diamonds and transported to your laboratory by your mages.	land 1|cave 0|season 0	2d6vis A	
62	Playful winds have been captur	-1	Playful winds have been captured, distilled into diamonds by your mages.	land 1|cave 0|season 0|luck 3|magic 0	3d6vis A	
63	A spring fairy has been sighte	-1	A spring fairy has been sighted, spreading joy and laughter in the land.	season 0|land 1|cave 0	unrest -50|decscale3 Death|decscale2 Misfortune	
64	The summer heat has been disti	-1	The summer heat has been distilled into glowing rubies by a young mage.	land 1|cave 0|season 1	1d6vis F	
65	This summer is unusually hot. 	-1	This summer is unusually hot. In the ashes of a burning bush a small amount of gems were found.	land 1|cave 0|season 1|heat -1	2d6vis F	
66	This summer is unusually hot. 	-1	This summer is unusually hot. In the ashes of a burning bush a small amount of gems were found.	land 1|cave 0|season 1|heat -1|luck 3	4d6vis F	
67	Fallen leaves and magic gems h	-1	Fallen leaves and magic gems have been found in a badger's den.	land 1|cave 0|season 2	2d6vis E	
68	Heavy autumn rains caused a la	-1	Heavy autumn rains caused a landslide, revealing a buried cache of magic gems underneath the soil.	pop0ok 1|land 1|cave 0|season 2	1d3vis All	
69	Heavy autumn rains caused a la	-1	Heavy autumn rains caused a landslide, revealing a buried cache of magic gems underneath the soil.	pop0ok 1|land 1|cave 0|season 2|luck 3	1d6vis All	
70	A few ice crystals of fantasti	-1	A few ice crystals of fantastical proportions have fallen in the province.	pop0ok 1|land 1|season 3	2d6vis W	
71	The hard working farmers of th	-1	The hard working farmers of the province managed to harvest some sturdy crops even during winter. The farmers were overjoyed and managed to pay some extra tax as well.	maxunrest 50|season 3|cave 0|prod 0|growth 0	unrest -15|gold 100	
72	The hard working farmers of th	-1	The hard working farmers of the province managed to harvest some sturdy crops even during winter. The farmers were overjoyed and managed to pay some extra tax as well.	maxunrest 50|season 3|cave 0|prod 2|growth 1	unrest -15|taxboost 200	
73	A mild winter has enabled your	-1	A mild winter has enabled your traders to travel extensively and livestock to survive the winter.	maxunrest 50|season 3|land 1|cave 0	unrest -20|gold 150	
74	A young farmer stealing food f	-1	A young farmer stealing food from squirrels found some gems among the acorns and donated them to the temple.	season 3|land 1|cave 0|temple 1|growth 0	1d6vis N	
75	A handful of magic fire gems w	-1	A handful of magic fire gems were found by digging in a spot where the snow would not settle.	season 3|land 1|cold 1|cave 0	1d6vis F	
76	A handful of magic gems have b	-1	A handful of magic gems have been found in the prime of the season.	noseason 2|noseason 2	1d6vis N	
77	Magic gems have been found in 	-1	Magic gems have been found in the prime of the season.	luck 2|noseason 2|noseason 2	4d6vis N	
78	The harvest has been good.	-1	The harvest has been good.	maxunrest 50|noseason 0|noseason 0|growth -1	unrest -20|taxboost 100	
79	The harvest has been truly exc	-1	The harvest has been truly exceptional.	maxunrest 50|noseason 0|noseason 0|growth 1	unrest -30|taxboost 250	
80	A handful of magic gems have b	-1	A handful of magic gems have been found in the prime of the season.	noseason 0|noseason 0	1d6vis D	
81	A handful of magic gems have b	-1	A handful of magic gems have been found in the prime of the season.	luck 3|noseason 0|noseason 0	4d6vis D	
82	A handful of magic gems have b	-1	A handful of magic gems have been found in the hot waste.	pop0ok 1|waste 1|heat 2	2d6vis F	
83	A handful of magic gems have b	-1	A handful of magic gems have been found among the old white bones of bold adventurers.	waste 1	2d6vis D	
84	Some mystical gems have been f	-1	Some mystical gems have been found in a deep crevice.	pop0ok 1|waste 1	2d6vis E	
85	A handful of magic gems have b	-1	A handful of magic gems have been found in the swamps.	pop0ok 1|swamp 1	2d6vis W	
86	A handful of magic gems have b	-1	A handful of magic gems have been found in corpses floating in the stagnant waters of the swamp.	pop0ok 1|swamp 1	2d6vis D	
87	A renegade wizard was found an	-1	A renegade wizard was found and staked in a bog. His laboratory along with a handful of gems are now yours.	lab 0|swamp 1	lab 1|2d6vis N	
88	A handful of magic gems have b	-1	A handful of magic gems have been found in a grove in the forest.	forest 1	2d6vis N	
89	A renegade wizard was found an	-1	A renegade wizard was found and hanged from an oak. His laboratory along with a handful of nature gems are now yours.	lab 0|forest 1	lab 1|2d6vis N	
90	A spirit was found fettered in	-1	A spirit was found fettered in the split trunk of an ancient oak and offered some magic gems in return for its release.	forest 1	2d6vis N	
91	A handful of magic gems have b	-1	A handful of magic gems have been found on a desolate mountaintop.	pop0ok 1|mountain 1	2d6vis A	
92	A handful of magic gems have b	-1	A handful of magic gems have been found in an abandoned mine.	mountain 1	2d6vis E	
93	Copper deposits have been foun	-1	Copper deposits have been found and a new mine is being built.	mountain 1|freesites 1	newsite 68	
94	Silver deposits have been foun	-1	Silver deposits have been found and a new mine is being built.	mountain 1|luck 1|freesites 1	newsite 67	
95	Gold deposits have been found 	-1	Gold deposits have been found and a new mine is being built.	mountain 1|luck 2|freesites 1	newsite 66	
96	Ore deposits have been found a	-1	Ore deposits have been found and a boost in army production is expected.	mountain 1|freesites 1	newsite 69	
97	A handful of magic gems were f	-1	A handful of magic gems were found in the belly of a dead whale.	pop0ok 1|land 0	2d6vis W	
98	Some magic gems were found in 	-1	Some magic gems were found in wreck of a sunken ship	pop0ok 1|land 0	2d6vis D	
99	Magical clams were found and h	-1	Magical clams were found and harvested for pearls	land 0	2d6vis S	
100	A grand festival was held in t	-2	A grand festival was held in the honor of ##goddisname##. Everyone was celebrating and faith has increased in the province.	temple 1|mydominion 1	incdom 2	
101	A celebrant of the faith is pr	-2	A celebrant of the faith is preaching justice and bringing hope to the people.	land 1	nation -2|unrest -100|com 241|B300 30	
102	A pilgrim from a distant land 	-2	A pilgrim from a distant land has come to witness miracles in the temple of ##fullgodname##.	temple 1|mydominion 3|minpop 200|land 1	nation -2|com 2331	
103	A local lord has employed slav	-2	A local lord has employed slave labor and resource production in the province has been greatly improved.		landprod 30	
104	The people here have raised a 	-2	The people here have raised a temple in honor of ##godname##.	temple 0|maxunrest 5	temple 1	
105	A local lord has built a fortr	-2	A local lord has built a fortress to defend his lands from revolting peasants.	fort 0|maxunrest 100|minunrest 10|land 1	fort 1	
106	A magic item has been found an	-2	A magic item has been found and transported to the arcane laboratory.	pop0ok 1|maxunrest 50|magic -1	magicitem 3	
107	An unknown benefactor donated 	-2	An unknown benefactor donated a gold statue crafted in the honor of ##goddisname## to the local temple. It was swiftly melted and stamped into gold coins.	turn 4|maxunrest 50|order 0|temple 1	gold 750	
108	An unknown benefactor donated 	-2	An unknown benefactor donated a gold statue crafted in the honor of ##goddisname## to the local temple. Placing it outside the temple has increased faith and order.	maxunrest 50|order 0|temple 1|mydominion 1	incdom 4|decscale2 Turmoil	
109	Peasants speak of ill omens an	-2	Peasants speak of ill omens and strange creatures that prowl the forests at night. A handful of death gems have been found in the belly of a goat.	maxunrest 50|minpop 10|land 1	3d6vis D|unrest 25|decscale2 Drain	
110	A witch was drowned in the wel	-2	A witch was drowned in the well of a village. Thereafter the water has started glowing in the moonlight. This esoteric substance has been distilled into a large quantity of gems.	minpop 10|land 1	4d6vis W	
111	Priests of the temple have fou	-2	Priests of the temple have found ancient and forgotten vaults containing rich offerings.	turn 4|temple 1	gold 500|magicitem 3	
112	A gold nugget of legendary siz	-2	A gold nugget of legendary size has been found and brought to the treasury.	turn 4	gold 750	
113	A peasants goose has laid seve	-2	A peasants goose has laid several eggs of gold! Unfortunately it was killed in an ensuing conflict of ownership. The gold eggs were confiscated by the local temple.	turn 3|land 1|temple 0	gold 500	
114	A peasant's oyster has produce	-2	A peasant's oyster has produced several giant pearls! Unfortunately the oyster was smashed in an ensuing conflict of ownership. The pearls were confiscated by the local temple.	turn 3|land 0|temple 1	gold 500	
115	Adventurers have plundered the	-2	Adventurers have plundered the lair of a hideous troll. Their leader has been hanged and all unlawfully acquired goods have been confiscated.	turn 5|9600 50	gold 1000|magicitem 1	
116	The local merchants guild has 	-2	The local merchants guild has erected a glorious temple in the honor of ##godname##. Unfortunately costs were higher than expected and tax money had to be used for the last fittings. Consequently the province has not been able to pay any tax this month.	temple 0|maxunrest 5|minpop 50	temple 1|taxboost -100	
117	The skull of a legendary mage 	-2	The skull of a legendary mage has been unearthed and transported to the lab. [Skull Mentor]	pop0ok 1	magicitem 9	
118	A limping man in a black coat 	-2	A limping man in a black coat has appeared at the gates of the local stronghold. He offered a deal to anyone willing to sign his contract in blood. ##fulltargname## signed it, unable to resist the temptation. [Soul Contract]	turn 20|unique 1|EA00 0|EB00 0|F600 15|F400 1|E700 0	addequip 9	
119	An adventurer returning from r	-2	An adventurer returning from ruins deep in the mountains has returned insane, carrying a magical lantern that the lord of the land immediately sent to the treasury. [Lightless Lantern]	unique 3|land 1	magicitem 9	
120	An adventurer returning from t	-2	An adventurer returning from the deep seas has returned insane, carrying a magical lantern that the lord of the land immediately sent to the treasury. [Lightless Lantern]	unique 2|land 0	magicitem 9	
121	A cunning wizard has donated a	-2	A cunning wizard has donated a magical object to the local lord in return for protection against the superstitious peasantry. It was immediately transported to the treasury.		magicitem 1	
122	Much of the recent unrest was 	-2	Much of the recent unrest was probably caused by an unpopular local baron. He was executed and wealth including a magic item was confiscated.	minunrest 50	unrest -50|gold 500|magicitem 1	
123	The construction of a new ring	-2	The construction of a new ring wall to defend a major city is complete. People from near and far are gathering to seek comfort and commerce in the city. Tax revenues have been permanently increased.	land 1|minpop 500|fort 0|order 1	fort 12|landgold 40	
124	One of your administrators fea	-2	One of your administrators fears a revolution.	minunrest 5|chaos 1	defence 20	
125	A prudent administrator fears 	-2	A prudent administrator fears your neighbors.	order 2	defence 25	
126	One of your bailiffs is afraid	-2	One of your bailiffs is afraid of monsters.	magic 2	defence 15	
127	An annoying leprechaun was cap	-2	An annoying leprechaun was captured by a simple cobbler who sold him to you for a little gold. When persuaded with burning iron, the leprechaun revealed the location of his treasure trove. A magic item and a pile of gold coins were found underneath a dung heap.	luck 1|magic 1|fullowner 57|land 1	magicitem 3|gold 99	
128	A great treasure has been foun	-2	A great treasure has been found! A fortune in gold, one magic item and a huge amount of magic gems have been found and transported to the arcane laboratory.	luck 3|maxunrest 50|turn 10	gold 3000|magicitem 3|4d6vis F|1d3vis All	
129	A great treasure has been foun	-2	A great treasure has been found! A fortune in gold, magic items and a huge amount of magic gems have been found and transported to the arcane laboratory.	luck 4|maxunrest 50|turn 15	gold 3000|magicitem 2|magicitem 2|2d6vis S|1d6vis All	
130	A great treasure has been foun	-2	A great treasure has been found! A fortune in gold, magic items and a huge amount of magic gems have been found and transported to the arcane laboratory.	luck 5|maxunrest 50|turn 15	gold 3000|magicitem 1|magicitem 1|magicitem 1|3d6vis F|1d6vis All	
131	A great caravan from a distant	-2	A great caravan from a distant land arrived in the province. Merchants from far and wide gathered and there was much commerce.	turn 6|noseason 3|minpop 200|order 1	gold 1500	
132	A great market was held in the	-2	A great market was held in the province. Merchants from far and wide gathered and there was much commerce.	turn 3|noseason 3|minpop 200|order 1	gold 600	
133	Ravagus, the Master of Flames,	-2	Ravagus, the Master of Flames, has sent his man-born son to serve you. In return he expects you to set the world on fire.	pop0ok 1|waste 1|magic 2|heat 3|land 1|unique 1	nation -2|com 389|A100 527|A100 527	
134	A helpful necromancer has deci	-2	A helpful necromancer has decided to aid you. He brought his soulless minions with him.	pop0ok 1|land 1|magic 2|death 1	nation -2|com 310|B300 197	
135	Rumors of your reputation and 	-2	Rumors of your reputation and promises of an eternal afterlife has caused an amazon priestess from a distant land to lead her tribe to you. In return for service. They expect you to display your mastery over death itself.	pop0ok 1|land 1|magic 1|death 2|dominion 4|noera 3	nation -2|com 356|A100 369|A700 357	
136	One of your commanders found a	-2	One of your commanders found an old dungeon guarded by strange seals. After days of arcane studies, the seals were broken and a wizened old man was released. The old lore master gratefully accepted you as his new master in return for his freedom.	land 1|magic 2|mountain 1	nation -2|com 479	
137	Your path to ascension has bee	-2	Your path to ascension has been foreseen at the Grey Tower of Nexus and one of the Shadow Seers has been given the task of guiding you.	pop0ok 1|land 1|magic 3	nation -2|com 106	
138	One of your gardeners has been	-2	One of your gardeners has been feeding the royal gardens with the blood of animals and condemned criminals. Unaware of the danger to himself, he entered the tainted garden and was killed by the awakened vines. For a week no one dared enter the gardens, but then a strange wanderer of the woods arrived and proclaimed that he would tame the garden, should he be made royal gardener. Now, both he and the dark vines serve you with the strength of the bloodthirsty wild.	land 1|magic 2|growth 2|chaos 1|unique 3	nation -2|com 122|9E00 330	
139	A fugitive from the hidden kin	-2	A fugitive from the hidden kingdom of Elludia has arrived in your capital. He brings with him a handful of diamonds and swears to serve if you protect him from his former masters.	pop0ok 1|land 1|magic 2|order 2	nation -2|com 629|1d6vis G	
140	An emissary from the Shadow Se	-2	An emissary from the Shadow Seers of Nexus has arrived in the province. He brings you three gifts from the hidden tower: Astral pearls, a magic item and a pot filled with gold coins.	pop0ok 1|land 1|magic 3|order 0	nation -2|magicitem 2|2d6vis S|gold 200	
141	An enormously wealthy prince f	-2	An enormously wealthy prince from a distant land arrived in your province searching for his beloved lady. Unfortunately for him, he was infected by the plague and died in your care. His riches, a fortune in gold and a number of magic items, were confiscated and transported to your treasury.	turn 5|land 1|death 3|luck 2	gold 1500|magicitem 1|magicitem 1	
142	Oleg, an incredibly old alchem	-2	Oleg, an incredibly old alchemist working in one of your laboratories has managed to construct a huge device that transforms base metals into gold. Unfortunately, he died from heart attack when the device actually worked. The device is operational and produces huge amounts of gold each month.	land 1|prod 2|magic 2|lab 1|freesites 1|unique 1	newsite 36	
143	An unnatural plague has swept 	-2	An unnatural plague has swept the province, killing thousands. Magical gems were found in the decaying corpses. Rumors of the mythical Crown of Darkness have circulated in the province ever since.	land 1|minpop 200|death 2|magic 3|turn 15	4d6vis D|4d6vis D|kill 50|unrest 10	
144	Caspar of the Cave has arrived	-2	Caspar of the Cave has arrived in your province and told you where to find the deepest cave in the province. Unfortunately he also awakened some strange beings in the deeps.	pop0ok 1|land 1|luck 2|magic 2|freesites 1|nositenbr 37	newsite 37|com 447|2d6units 447	
145	A young scholar has discovered	-2	A young scholar has discovered the tomb of an ancient king.	luck 1|turn 5|noera 1	gold 500|magicitem 1	
146	The tomb of an ancient priest-	-2	The tomb of an ancient priest-king was discovered.	pop0ok 1|luck 2|turn 10|noera 1	gold 500|magicitem 2	
147	An old scholar has discovered 	-2	An old scholar has discovered the tomb of an ancient hero, holding ancient treasures.	luck 1|magic 1|turn 5	gold 500|magicitem 3|magicitem 3	
148	The tomb of an ancient king wa	-2	The tomb of an ancient king was discovered by a young scholar. Ignoring the glyphs of warning, he entered the tomb and claimed an artifact of old. Unfortunately, he also released the guardians of the tomb!.	magic 2|turn 10|noera 1	magicitem 3|com 329|AB00 191|4d6units 189	
149	A wealthy merchant has found s	-2	A wealthy merchant has found salvation and donated a huge sum of gold to the temple.	turn 3|luck 1|order 1|dominion 5|noera 1	gold 500	
150	A wealthy merchant has been su	-2	A wealthy merchant has been suffering from a dread disease and donated all his gold to get rid of the affliction.	turn 5|luck 1|order 1|era 2	gold 1000	
151	A wealthy and faithful noble h	-2	A wealthy and faithful noble has died from old age and willed his fortunes to ##disname##. The gold was collected by the temple.	turn 3|death 1|luck 1|dominion 5	gold 750	
152	A tribal king from a distant l	-2	A tribal king from a distant land has donated a golden plow and a magic item to ##disname##.	luck 1|dominion 5|era 1	gold 300|magicitem 2	
153	There was a trade boom in the 	-2	There was a trade boom in the province.	noseason 3|noseason 3|minpop 200	gold 200	
154	A great fertility festival was	-2	A great fertility festival was celebrated in the province.	temple 1|mydominion 1	decscale2 Death|landgold 5	
155	A great summer festival was ce	-2	A great summer festival was celebrated in the province.	temple 1|mydominion 1|season 1	incdom 1	
156	A great harvest festival was c	-2	A great harvest festival was celebrated in the province. Faith has increased and bumper harvests are expected.	temple 1|mydominion 1|season 2|growth 0	incdom 1|decscale2 Turmoil	
157	Instead of falling off, the le	-2	Instead of falling off, the leaves on an ancient oak turned into gems.	land 1|cave 0|season 2|growth 3	4d6vis N	
158	Midwinter was celebrated in th	-2	Midwinter was celebrated in the province.	temple 1|mydominion 1|season 3|cave 0	incdom 1	
159	One cold winter night there wa	-2	One cold winter night there was a storm. A man with a frozen beard and robes of silver and ice emerged. He claimed to be the last of his order and now he wishes to serve the one whose dominion is ice and darkness.	land 1|cave 0|cold 2|dominion 3|season 3|cave 0	nation -2|com 309|e3 0	
160	An old hut was found in a deep	-2	An old hut was found in a deep forest. The owner, an old animist, preferred to serve rather than being staked in a bog.	land 1|magic 2|forest 1	nation -2|com 552|A900 284	
161	The cousin of a local lord has	-2	The cousin of a local lord has been bitten by a werewolf and now wishes your protection from the superstitious peasantry. He has donated his gold to the treasury.	land 1|forest 1|minpop 50	nation -2|com 633|gold 200	
162	A vampire that has been rooted	-2	A vampire that has been rooted out of his nest by local fanatics now seeks your protection.	land 1|forest 1|minpop 50	nation -2|com 405|addequip 3	
163	A Vampire Count has been drive	-2	A Vampire Count has been driven from his lands by local fanatics and now seeks your protection.	land 1|forest 1|minpop 50|death 1|pathdeath 3|unique 2	nation -2|com 3274|addequip 3	
164	Gold deposits have been found 	-2	Gold deposits have been found and a new mine is being built.	mountain 1|freesites 1	newsite 66	
165	Gold deposits have been found 	-2	Gold deposits have been found and a new mine is being built.	mountain 1|freesites 1|luck 2	newsite 66	
166	An old tower surrounded by wis	-2	An old tower surrounded by wisps of mist was found on a high mountaintop. The owner of the tower agreed to help you for a small sum of gold and a couple of virgins.	land 1|magic 2|mountain 1|gem 8	nation -2|com 93|gold -50|gemloss B	
167	A large amount of magic gems h	-2	A large amount of magic gems have floated ashore in this province.	pop0ok 1|coast 1	4d6vis W	
168	A slave ship has been discover	-2	A slave ship has been discovered and the cargo confiscated. Several virgins were transported to your blood slave dungeons.	coast 1	4d6vis B	
169	A pirate ship has been discove	-2	A pirate ship has been discovered and the cargo confiscated.	coast 1	gold 600|unrest -5	
170	A wayward siren was found by a	-2	A wayward siren was found by a lonely fisherman. He helped her mend her broken wing and gained her trust. Being a man of faith, he converted her and she is now willing to serve ##disname##.	coast 1|magic 0|luck 1	nation -2|com 1054	
171	A sunken ship filled with trea	-2	A sunken ship filled with treasure has been discovered in a deep gorge. All its wealth has been transported to your treasury.	luck 1|maxunrest 50|turn 5|land 0	gold 1000	
172	A black sunken ship has been d	-2	A black sunken ship has been discovered in a deep gorge. The ship contained a huge amount of magic gems and two magic items.	pop0ok 1|luck 1|maxunrest 50|turn 5|land 0	1d6vis All|magicitem 1|magicitem 1	
173	A large amount of magic water 	-2	A large amount of magic water gems has been found in the deeps.	pop0ok 1|land 0	4d6vis W	
174	A triton prince has come to yo	-2	A triton prince has come to you in search of the fabled Orb of Atlantis. He was so impressed by your wondrous palaces that he and his retinue swore their allegiance to you.	land 0|luck 3|magic 2|fort 1	nation -2|com 575|A300 573|com 575|6d6units 574	
175	A hydromancer from the Academy	-2	A hydromancer from the Academy Underneath has arrived with great gifts. He is on a secret mission, but has agreed to help you.	land 0|magic 2	nation -2|com 103|magicitem 3	
176	A triton mage from the Forest 	-2	A triton mage from the Forest of Amber Kelp has arrived with his menagerie. He was attacked by sea trolls and is now seeking refuge in your lands.	land 0|magic 1|growth 1	nation -2|com 575|A400 1062	
177	An envoy from the Cerulean Mah	-1	An envoy from the Cerulean Maharajah has arrived with sad news. The Maharajah is dying and his one hundred and seven sons are gathering to attend his funeral. One of your Cerulean Warriors has left your service, apparently being one of the heirs. In gratitude he left a bag of gold for your treasury and his personal advisor to serve you.	monster 1556|land 1|unique 1	nation -2|com 1143|killmon 1556|gold 200	
178	Azazel has sired an offspring.	-1	Azazel has sired an offspring.	land 1|monster 2062	nation -2|com 2075	
179	Semyaza has sired an offspring	-1	Semyaza has sired an offspring.	land 1|monster 2063	nation -2|com 2075	
180	Ezekiel has sired an offspring	-1	Ezekiel has sired an offspring.	land 1|monster 2064	nation -2|com 2075	
