id	name	type	constlevel	mainpath	mainlevel	secondarypath	secondarylevel	weapon	armor	shockres	fireres	coldres	poisonres	acidres	darkvision	airshield	limitedregeneration	woundfend	fixforge	autodishealer	healer	alch	insa	hp	protf	protb	mr	morale	str	att	def	prec	enc	mapspeed	ap	reinvigoration	pen	stealth	stealthb	forest	mount	waste	swamp	fly	float	sailingshipsize	sailingmaxunitsize	waterbreathing	giftofwater	airbr	flytr	quick	eth	trample	bless	luck	foolsluck	barkskin	stoneskin	ironskin	curse	disease	cursed	taint	ldr-n	ldr-u	ldr-m	inspirational	fear	awe	animalawe	exp	chill	heat	gold	F	A	W	E	S	D	N	G	B	H	firerange	airrange	waterrange	earthrange	astralrange	deathrange	naturerange	glamourrange	bloodrange	tmpfiregems	tmpairgems	tmpwatergems	tmpearthgems	tmpastralgems	tmpdeathgems	tmpnaturegems	tmpglamourgems	gf	ga	gw	ge	gs	gd	gn	gg	gb	berserk	bers	fireshield	banefireshield	iceprot	bloodvengeance	pillagebonus	patrolbonus	castledef	supplybonus	researchbonus	heretic	douse	void	diseasecloud	poisoncloud	reaper	crossbreeder	ivylord	spelleffect	startbattlespell	autocombatspell	itemspell	ritual	sumrit	#sumrit	sumauto	#sumauto	sumbat	#sumbat	affliction	restrictions	special	regeneration	restricted1	restricted2	restricted3	restricted4	restricted5	restricted6	aging	corpselord	lictorlord	bloodsac	mastersmith	eyeloss	armysize	defender	cannotwear	reanimH	reanimD	dragonmastery	patience	retinue	noforgebouus	crown	hpbonus	twistfate	nationrebate1	nationrebate2	mason	itemcost1	itemcost2	blesssacredonly	returning	warning	mapmovebonus	slowaging	transformwearer	feeblemindprovince	supayasummonbonus	curseattacker	seduction	bearergainsinsanity	bearergainsinsanitypermonth	infernoret	kokytosret	heataura	wintermove	unhindered	floating	spiritsight	invisibility	diseasegrinder	agingreductiontoallunits	fastcasting	petrification	xpgainpermonth	extralife	bloodsearcher	animalawe2	stormpower	batstartsum2	batstartsum3	batstartsum5d6	goldgen	magiceye	damagereversal	mustfightinarena	inquisitor	assassin	spreaddeathormisfortune	coldaura	flyingmaxtotalsize	flyingmapmove	arenareward	swiftness	taskmaster	leper	siegebonus	invulnerable	horrormarkattacker	entangle	minsizetoequip	maxsizetoequip	minstrtoequip	minhandstoequip	deathgemonkill	deathexplosion	chanceofattackbyknights	singleuse	domspreader	allunitslooklikebearertoscouts	monstermustbepresent	banishkiller	onlyuseablebyfliersormounted	masterritualist	stunattackers	eatforyouth	startitem	swimming	localsun	poisonarmor	curserandomunits	voidbanishchance	voidret	chancetobecomewerewolf	stormimmune	farsail	lesserhorrorattackchance	islance	proudsteed	comslave	nofind	chestwound	feeblemind	enlargement	limitedenlargement	antimagic	soulvortex	disbelieve	truesight	falsesupplies	bestowtomount	extraarms	nomount	noinanimate	nightmareaura	undreaming	glamourman	nomindless	noforgebonus	magerestriction	dancingweapon	strikes	warning	strrequired	beauty	scalewalls	nononsleeper	reconst	blur	fireempower	airempower	waterempower	earthempower	heavy	dreamenhancer	end
71	Flesh Eater	1-h wpn	5	B	1			149																																																																																																								3																																																																																																																																																																																		
72	Heart Finder Sword	1-h wpn	5	B	2			111																																																																																																																																																																																																																																																																																										
73	Twilight Glaive	2-h wpn	5	G	2			791																																																																																																																																																																																																																																																																																										
74	Dragon Sceptre	1-h wpn	7	F	2			151																																																																																																																														Flame Bolt																													1																																																																																																																															
75	Rod of the Phoenix	1-h wpn	7	F	4			151																																																																																																																														Incinerate																																																																																																																																																												
76	Staff of Elemental Mastery	2-h wpn	7	F	4	W	4	238			5	5																																																																1	1	1	1							1	1	1	1																																																																																																																																																																																																									
77	Carmine Cleaver	2-h wpn	7	F	2	E	1	570			5																																																																																																							1																																																																																																																																																																																
78	Evening Star	1-h wpn	7	F	1	D	1	304																																																																																																																																																																																																																																																																																										
79	Demon Whip	1-h wpn	7	F	1	B	1	277																																																																																																																																																																																			10																																																																																																							
80	Staff of Storms	2-h wpn	7	A	5			105																																																																																																																												Storm		Lightning Bolt																			8																																																																																																																																									
81	Star of Thraldom	1-h wpn	7	G	1			218																																																																																																																																																																																																																																																																																										
82	Staff of Elemental Mastery	2-h wpn	7	A	4	E	4	238		5																																																	1																	1	1	1	1							1	1	1	1																																																																																																																																																																																																									
83	Demon Bane	2-h wpn	7	W	1			436			15																																																																																																																																																													5																																																																																																																										
84	Wave Breaker	2-h wpn	7	W	3			83																																								1																																																																																				Friendly Currents																																																																																																																																																														
85	Rime Hammer	2-h wpn	7	W	2	A	1	687				10																																																																																																																																																																																																																																																																																						
86	Gate Cleaver	2-h wpn	7	E	3			169																																																																																																																																																																																																																					100																																																																					
87	Moon Blade	2-h wpn	5	S	1			289																																																																																																																																																																																																																																																																																										
88	Shadow Brand	1-h wpn	7	D	2	E	1	395																																																																																																																																																																																																																																																																																										
89	Standard of the Damned	2-h wpn	7	D	4			100																																																													5																																																																	Drain Life																																																																																																																																																												
90	Banner of the Northern Star	2-h wpn	7	S	4			100																			-2																																																																																																									Light of the Northern Star																																																																																																																																																														
91	Axe of Hate	1-h wpn	7	N	1			412					-15																																																																																																																																																																																																																																																																																					
92	Treelord's Staff	2-h wpn	7	N	5			238																																1																																										2										1																																						2																																																																																																																																																																
93	Singing Sword	1-h wpn	7	G	2			775																																																																																																																													Entrancement																																					11	58																																																																																																																							
94	Blood Thorn	1-h wpn	7	B	3			688																																																																												1																																																																																						104																																																																																																																								
95	Hell Sword	2-h wpn	7	B	2	F	2	241			10																																																																																																					3																																																																																																																																																																																		
96	Master's Athame	1-h wpn	7	B	3	S	1	686																																																																																																																																																																																																																																																																																										
97	O'al Kan's Sceptre	1-h wpn	9	F	3			410				10																																																					100																					2																																																Flare																																																																																																																																																												
98	Unquenched Sword	1-h wpn	9	F	5			84																																																																																																								1																				Heat from Hell																																																																																																																																																														
99	Ember	1-h wpn	9	F	2	W	2	191			10	10																																																																																																																																																																																																																																																																																						
100	Sword of Justice	2-h wpn	9	F	3	S	3	170			15																																																																										1																																																	Prison of Fire																																																					100	100																																																																																																						
101	Tempest	2-h wpn	9	A	5			113		15																																																																																																																										Storm		Thunder Strike																																																																																																																																																												
102	Winter Bringer	1-h wpn	9	W	3			844				15																																																																																																																										Falling Frost																																																																																																																																																												
103	Trident from Beyond	2-h wpn	9	W	3	S	2	193																																																																						1																																																																																																																																																																																																																				
104	Dawn Fang	1-h wpn	9	E	2	S	1	555										1									1																																											1																																																																																																				19	66																																																																																																																							
105	The Summit	1-h wpn	9	E	4			162																																																																																																																																																																																																																																																																																										
106	The Stone Sword	2-h wpn	9	E	5			103																			4																																																																																																																																																																																																																																																																							
107	Mage Bane	1-h wpn	9	E	6			87																			5																																					10																																																																																																																																																																																																																																		
108	Hammer of the Forge Lord	2-h wpn	9	E	5	F	3	184											4																																																																																																																																																																																																																																																																															
109	The Tartarian Chains	1-h wpn	9	E	4	F	2	188																																																																																																																																																							392																																																																																																																																			
110	The Sword of Many Colors	2-h wpn	9	G	4	F	2	195																																																														3													1																			2																																																																																																																																																																									1																			
111	Twin Spear	1-h wpn	9	S	1	B	1	295																																																1									100																																																																					Call Lesser Horror																																																																																																																																																												
112	Twin Spear	1-h wpn	9	S	1	D	1	296																																																1									100																																																																																																																																																																																																																																	
113	The Oath Rod of Kurgi	2-h wpn	9	S	3	B	3	157																																																																								1				1		1	1	1	1	1	1	1	1	1																																								Horror Mark																																															5																																																																																																													
114	The Sword of Aurgelmer	1-h wpn	9	G	6			179																				4																												1					1																																																																							Dreamwild Legion																																																																																																																																																														
115	Rod of Death	1-h wpn	9	D	3			59																																																										100																																																																				Control the Dead																																																																																																																																																												
116	The Flailing Hands	2-h wpn	9	D	2			158																			1										1																																												1																																																																																																																																																																																																																	
117	The Sickle whose Crop is Pain	1-h wpn	9	D	6			187																																																																																																																																																																																																																													1																																																													
118	Sceptre of Dark Regency	1-h wpn	9	D	6			386																																																																									2										2																																																													3																																																																																																																																										
119	Sword of Injustice	1-h wpn	9	D	4			205																																																																													1																																															Protection of the Sepulchre																																																																																																																																																														
120	Woundflame	1-h wpn	9	D	4			97																																																						1																																																																																																																																																																																																																																				
121	Sun Slayer	2-h wpn	9	D	6			72																																																													5												1																																																			Darkness		Drain Life																																																																																																																																																												
122	Picus's Axe of Rulership	1-h wpn	9	D	2	E	1	341																																																																																																																																																																																																																																																																																										
123	The Sharpest Tooth	1-h wpn	9	N	2	S	1	336					25																																																																																																																																																							2																																																																																																																														
124	Sceptre of Corruption	1-h wpn	9	B	4			843																																																							1	10	100																																																																					Bane Fire																																																																																																																																																												
125	Procas's Axe of Rulership	1-h wpn	9	B	2	E	1	340																																																																																																																																																																																																																																																																																										
126	Harvest Blade	2-h wpn	9	B	3	N	1	122																				2																																			1						5																																											2	1																																																																																																																																																																																	
127	Dimensional Rod	1-h wpn	9	S	3			443																																												1											1	20																1										1																																																																																																1																																																																																																								
128	Infernal Sword	2-h wpn	9	B	1	F	1	444			5																																																																																																																																																																																																																																																																																							
129	The Staff from the Sun	2-h wpn	9	S	5	F	1	540			15																																																																	1										2									1																																																																																																																																																																																																			
130	Star of Darkness	1-h wpn	5	D	1			787																																																																																																																																																																																																																																																																																										
131	Shaman's Staff	2-h wpn	3	N	1	S	1	238																												1	1																																																							1																																																																																																																																																																																																						
132	Black Halberd	2-h wpn	3	E	1			508																																																																																																																																										60	101																																																																																																																																															
133	God-Slayer Spear	1-h wpn	3	E	1			722																																																																																																																																										6	51																																																																																																																																															
134	Anemone Mace	1-h wpn	3	W	1			653																																																																																																																																										44	89	127																																																																																																																																														
135	Mercybrand	1-h wpn	3	F	2			661																																																													5																																																		10																											61																																																																	1																																																																															
136	Cockerel Scepter	1-h wpn	5	F	2			659																																																																																																																														Holy Pyre												61																																																																																																																																																
137	Jellyberd	2-h wpn	7	S	1	F	1	656																	20																																																																																																																									89	127																																																																																																																																															
138	Sword of the Five Elements	1-h wpn	3	F	1	W	1	700																												2																																																																																																														22	69	109																									-60	-60																																																																																																																				
139	Spear of the Morrigan	1-h wpn	3	D	1	A	1	487																																																																																																																																										10																																																																																																																																																
140	Vajra	1-h wpn	5	S	2			705		10																																																																																																																												Lightning Bolt												20	68																																																																																																																																															
141	Flail of Misfortune	1-h wpn	11	D	2			365																													2																																																																																																																																																																																																																																																													
142	Sling of Accuracy	missile	1	A	1			697																																																																																																																																																																																																																																																																																										
143	Just Man's Cross	missile	3	F	1			161																																																																																																																																																																		61																																																																																																																								
144	Trueshot Longbow	missile	3	A	1			152																																																																																																																																																																																																																																																																																										
145	The Pebble Pouch	missile	3	E	1			546																																																																																																																																																																																																																									6																																																					20												
146	Piercer	missile	3	E	1	A	1	168																																																																																																																																																																																																																																																																																										
147	Black Bow of Botulf	missile	3	D	1			155																																																																																																																																																																																																																																																																																										
148	Mirage Bola	missile	3	G	1			809																																																																																																																																																																																																																																																																																										
149	Fire Bola	missile	5	F	1			301																																																																																																																																																																																																																																																																																										
150	Thunder Bow	missile	5	A	2			243																																																																																																																																																																																																																																																																																										
151	Golden Arbalest	missile	5	A	1	E	1	565																																																																																																																																																																																																																																																																																										
152	Vision's Foe	missile	5	A	1	D	1	332																																																																																																																																																																																																																																																																																										
153	Vine Bow	missile	5	N	1			303																																																																																																																																																																		53																																																																																																																								
154	Sling of Crystal Shards	missile	5	G	1	E	1	814																																																																																																																																																																																																																																																																							1																			
155	Bow of War	missile	7	A	1			154																																																																																																																																																																																																																																																																																										
156	Ethereal Crossbow	missile	7	S	1			180																																																																																																																																																																																																																																																																																										
157	Ivory Bow	missile	7	D	3	A	1	566																																																										15																																																																																																																																																																																																																																
158	Banefire Crossbow	missile	7	D	1			434																																																					1																																																																																																													113																																																																																																																								
159	Bow of the Titans	missile	9	A	3	S	2	678																																																																															1																																															Seeking Arrow																																																																																																																																																18												
160	Blacksteel Tower Shield	shield	1	E	1				41																																																																																																																																																																	60																																																																																																	1																							
161	Blacksteel Kite Shield	shield	1	E	1				69																																																																																																																																																																	60																																																																																																																								
162	Enchanted Shield	shield	1	S	1				92																																																																																																																																																																																																																																																																																									
163	Raw Hide Shield	shield	1	N	1				235																																																																																																																																																																																																																																																																																									
164	Weightless Tower Shield	shield	3	A	2				65																																																																																																																																																																																																																																																																		1																							
165	Weightless Kite Shield	shield	3	A	2				66																																																																																																																																																																																																																																																																																									
166	Lead Shield	shield	3	E	2				42																		4																																																																																																																																																																																																																																																																							
167	Shield of Valor	shield	3	E	1	A	1		57							80																																																																																																																																																																																																																																																																																		
168	Lucky Coin	shield	3	G	2				67																																															1																																																																																																																																																																																																																																										
169	Shield of Meteoritic Iron	shield	3	S	3	E	2		73																																																																																																																											Power of the Spheres																																																																																																																																							1																							
170	Eye Shield	shield	3	N	2				61																																																																																																																																																				1																																																																																																																																					
171	Ice Aegis	shield	3	W	2				225			5																																																																																																								1																																																						71																																																																																																																								
172	Golden Hoplon	shield	5	F	2				71		15																																																																																																																																																															6																																																																																																																								
173	Charcoal Shield	shield	5	E	2	F	1		60		10																																																																																																							1																																																																																																																																																																																
174	Mirror of Long Lost Battles	shield	5	G	2				262																																																																																																																																																																																																																																																																		1				1																			
175	Shield of the Accursed	shield	5	S	2	B	1		62																						3																																																																																																																																																																																																5																																																																			
176	Vine Shield	shield	5	N	2				63																																																																																																																																																																																																																																																																																									
177	Totem Shield	shield	5	N	1	S	1		235																																																																																																																																																																	76	28												5																																																																																																											
178	Shield of Gleaming Gold	shield	7	F	1	G	1		71																																																													1																																																																																																				6																																																																																																																								
179	Scutata Volturnus	shield	7	A	1	E	1		87	5																																																																																																																											Shocking Grasp																																																																																																																																						1																							
180	Lantern Shield	shield	7	D	2	F	1		88																																																										1		5																																																																																																																																								528																																																																																					
181	Immaculate Shield	shield	9	F	3	S	2		182																																														1															2															1																																																																																																																																																																																																													
182	Barrier	shield	9	E	4				68	15	15																		4																																																																																																																																																																																																																																														1																							
183	The Aegis	shield	9	E	5				64																																																												5																																																																																																																																	1																																																																																												
184	Shield of the Dawn	shield	9	E	2	S	1		178		5							1									1																																											1																																																																																																																																																																																																																												
185	Blacksteel Helmet	helm	1	E	1				40																																																																																																																																																																	60																																																																																																																								
186	Enchanted Helmet	helm	1	S	1				223																																																																																																																																																																																																																																																																																									
187	Dragon Helmet	helm	3	F	1				227		5				50													4																																																																																																																																																																																																																																																																						
188	Crown of Lead	crown	3	E	1				278																		1																																																																																																																																												1																																																																																																																											
189	Ivy Crown	crown	3	N	1																																			1																																																																																										1																																					1																																																																																																																											
190	Horned Helmet	helm	3	N	1			334	227																																																																																																																																																																																																																																																																																									
191	Ice Helmet	helm	3	W	1				226			5																																																																																																																																																														71																																																																																																																								
192	Flame Helmet	helm	5	F	4				80																											-3																																								1																																																																																																																																																																																																																						
193	Helmet of Heroes	helm	5	F	1	E	1		174																																																											2																																																																																																																																																																																																																														
194	Dragon Crown	crown	5	W	1	E	1		212																																																																																																																																																										1				1																																																																																																																											
195	Winged Helmet	helm	5	A	4				227																																																																				1																																																																																																																																																																																																																					
196	Crown of Command	crown	5	S	2				212																																																								100		50	1																																																																																																			1																																																																																																																											
197	Spirit Mask	helm	5	D	2	N	1		187																		1																																																																																																										Frighten																																					76	28																						1																																																																																																	
198	Mistletoe Garland	crown	5	G	1								5																																											1																																																																																																															1																																																																																																																											
199	Horror Helmet	helm	5	D	2				227																																																												5																																																																																																																																																																																																																													
200	Crown of Bones	crown	5	D	2				212																																																									150		-1																																																																																																			1																																																																																																																											
201	Gossamer Veil	crown	5	G	3																																	20																																													1																																																																																				1																																																																																																																				1							
202	Crown of the Whispering Dead	crown	5	G	1	D	1		212																																																																																																																																																														1																																																																																																						24	4	1	1																		
203	Scorpion Crown	crown	7	F	3	D	2		212				5																																																						5																																																																																																				1			26																																																																																																																								
204	Spirit Helmet	helm	7	A	3				79																																																																																																																												Lightning Bolt																																																																																																																																																													
205	Iron Face	helm	7	E	3				173																																																			1																																																																																																																																																																																																																																						
206	Crown of the Titans	crown	7	E	2	F	1		212																																																								100			1																																																																																																			1																																																																																											1																																
207	Starshine Skullcap	helm	7	S	2				83																		2																																																					1																																																																																																																																																																																																																		
208	Crown of the Magi	crown	7	S	4	W	2		212																																																										25																																																																																																				1																														30																																																																																													
209	Skullface	helm	7	D	5				228																																																									25															1																																																					Horde of Skeletons																																																											1																																																																																																	
210	Wraith Crown	crown	7	D	5				212																																												1													100																																																																																																					1																										1													-2																																																																																				
211	Mask of Face-borrowing	crown	7	G	2																																	30																																																																																																																																	1																																																																																																																											
212	Headband of Woven Dreams	crown	7	G	2				278																																																																																																																																																														1																																																																																																							4		1																		
213	Crown of Overmight	crown	9	F	5	E	3		55																30				5																																		1		150			1																																																																	Charm																																		1																																																																																													1																														
214	Amon Hotep	crown	9	F	5	S	4		212		15																5																																				1							5																																																																Mummification																																	1																																																							25																																																																				
215	Helmet of Perfection	helm	9	W	3	A	3		175																																																											3		5																																																																																							1											5																																																																																																																										
216	Helmet of the Dawn	helm	9	E	2	S	1		180									1									2																																											1																																																																																																																																																																																																																												
217	Crown of the Ivy King	crown	9	N	2								15																											1																		1																																																																								3				Awaken Vine Men											5																						1																																			5																																																																																								
218	The Crown of Despair	crown	9	D	2				212						100																																																1						10																						1																	1																																																					2	4					1																																																																																																																											
219	Crown of the Fire King	crown	9	F	4				212		25																									-1																											1				50																																															1																																																					1																						3															3717																																																																																						
220	Crown of the Frost King	crown	9	W	4				212			25																																																			1				50																																																																																																				1																																					3749										25																																																																												
221	The First Crown	crown	9	S	4	F	4		212																																																						1	50						5																																																																																																	1																																																																							2													10																																							
222	The Crown of Pure Blood	crown	9	B	4	D	2		212																																																						1						10																																										5																																																								1																																																																																																																											
223	Crown of the Elements	crown	9	F	4	W	4		212	10	10	10																																																																1	1	1	1																																																																																								1	5																																																																																																																										
224	Oppressors Headband	crown	1	E	3				278																		-2																																																																																																																							51	96																				1																																																																																																																											
225	Crown of the Shah	crown	3	F	1	A	1		212																																																						1		150	50	50	1																	1																																															Fanaticism														105																					1																																																																																								1																																			
226	The Jade Mask	helm	9	D	6	N	3		45				15		50												3																																										10												2																																																					Rigor Mortis											5	27	75	113																																																																																																																																														
