id	name	bossname	com	unit	nrunits	level	minmen	minpay	xp	randequip	recrate	item1	item2	eramask	end
26	Fordo Boggit's Elite Warriors	Fordo Boggit	272	271	50	0	10	250	16	1	50			6	
27	Urgek Beast Brother	Urgek	458	457	30	0	10	40	0	0	100			7	
28	Bindar's Mighty Markatas	Bindar	1127	1120	50	0	20	40	0	0	300			7	
29	Abhiraja's Archers	Abhiraja	1127	1121	50	0	15	150	10	0	200			7	
30	The Bandar Band	Mahapindar	1135	1132	30	0	10	250	15	0	100			6	
31	Ship Wreckers	Y'gologna	441	208	30	0	10	250	20	1	100	Sword of Sharpness		7	
32	The Fishermen	Sho'guu	976	974	40	0	15	150	0	1	100			7	
33	The Wet Ones	Napa Tua	1637	1635	50	0	15	250	15	1	100			7	
34	Melkorka's Green Men	Melkorka	2905	2903	50	0	10	250	15	1	100			7	
35	Swimming Men	Pau Pau	577	577	50	0	15	250	15	1	100			7	
36	"Dagan, the Renegade Sage"	Dagan	478	287	0	0	5	60	10	1	0			7	
37	"Obscuro, the Hidden Master"	Obscuro	341	287	0	0	5	75	10	1	0			7	
38	Madam Fortuna	Madam Fortuna	1011	50	10	0	5	60	10	2	100	Pendant of Luck		4	
39	The Lions	Louis	291	285	75	1	25	500	50	1	100			7	
40	Hornets	Mortada	293	288	75	1	20	500	50	1	100			4	
41	Miguel's Sons	Miguel	293	288	30	1	10	200	50	1	100			4	
42	Iron Men	Clovis	293	287	50	1	15	400	50	1	100			7	
43	The Merry Men	Rivaude	2107	32	50	0	15	150	15	1	200			4	
44	Poignant Pikes	Salvatore	293	289	50	1	20	400	50	1	100			4	
45	God's Justice	Guiseppe II	149	289	75	1	25	600	35	2	100			6	
46	Hell Hooves	Berenger	91	91	30	1	10	500	50	1	100			6	
47	Master Gibur	Gibur	103	3731	1	1	0	100	20	2	0			7	
48	Fish Master Sogg	Sogg	103	1664	1	1	0	150	20	2	0			7	
49	Istana's Warriors	Istana	353	354	50	1	20	200	0	2	50			7	
50	The Green Horde	Murong Chui	930	938	40	1	20	300	0	2	100			7	
51	The Master Assassin	Terminus	428	0	0	1	0	25	50	2	0	Duskdagger	Robe of Shadows	7	
52	Eternal Knights	Orion	366	366	15	1	0	200	500	1	0	Flambeau	Amulet of Missile Protection	4	
53	Helmut's Sappers	Helmut	748	749	30	1	10	300	0	1	100			7	
54	The Snake Charmer	Putin	403	18	75	0	1	200	10	1	200			6	
55	Stroumsa's Freaks	Stroumsa	150	455	75	1	25	300	0	1	100			7	
56	The Lost Legion	The Lost One	443	337	30	1	10	50	0	1	100			7	
57	Skull Smashers	Gryf	518	518	15	1	5	200	10	1	50			7	
58	Wolfkin Reavers	Uttumvirke	283	541	50	1	25	300	0	1	100			7	
59	Rozul's Red Raptors	Rozul	205	205	50	1	15	200	0	2	100			7	
60	Mighty Pak-ur	Pak-ur	488	0	0	1	0	80	0	3	0			1	
61	Otto the Great	Otto	1334	1124	100	1	10	350	10	2	100	Crown of Command		2	
62	Nergash's Damned Legion	Nergash	310	195	125	1	20	350	10	1	10			7	
63	Ghoul Father	Yazrid ibn Hassar	481	198	75	1	25	300	10	1	100	Lifelong Protection		7	
64	"Mamor, the White Wizard"	Mamor	100	287	10	1	0	150	10	1	50	Lightweight Scale Mail		7	
65	Göte	Göte	95	433	30	1	10	250	5	2	20			7	
66	The Master Druid	Erbum	105	361	50	1	10	300	0	1	100			7	
67	"Ferrus, the Iron Wizard"	Ferrus	477	532	10	1	0	200	0	1	50	Amulet of Antimagic		7	
68	The Boar Mage	Baratus	552	549	50	1	10	200	0	2	50			7	
69	Reavers of the Deep	Gladd Yog	976	975	50	1	25	300	0	1	100			7	
70	God's Enforcers	Guiseppe IV	149	289	150	2	50	900	75	2	100	Sceptre of Authority	Crown of Command	6	
71	Knight Errants	Sir Perceville	23	22	20	2	6	300	20	3	50			6	
72	Agyraspides	Seleucus	13	14	75	2	20	350	30	2	100			7	
73	The Feathered Serpent	Omecoatl	525	423	75	2	25	450	0	2	100			7	
74	The Dragon Tamer	Choznar	214	523	5	2	0	100	0	2	20			7	
75	The Wind Lord	Tempestus	93	562	50	2	15	350	0	3	100	Crown of Command		7	
76	The Whispering Legion	Saladaar	329	566	25	2	5	600	0	2	200			7	
77	Celestial Apostates	Bajie	903	902	15	2	2	450	0	2	100			7	
78	The Whisperer	Urvikel	2220	541	75	1	15	500	0	2	50	Skull Staff	Lodestone Amulet	7	
