id	name	rarity	loc	level	path	F	A	W	E	S	D	N	G	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	airshield	provdefcom	domconflict	sprite	nationalrecruits	natmon	natcom	throneclustering	wilddefenders	domconflict	rituallevelmodifier	callgodbonus	magicresistancebonus	bringgold	scorch	evil	scryrange	addtolimitedrecruitment	ageratereduction	dragonlord	corpselord	ivylord	maximizeorder	end
26	Starke's Ice Cave	5	0	1	Water			4																																																																																																		25																				
27	The Queen's Galley	5	0	1	Death						3																																																																																															47																				
28	Hoburg	5	0	0	Nature							1					75																																																																																									56																				
29	The Ruined Keep	5	0	0	Death						2																																	1020																														2477																																47																				
30	Temple of the Land	5	0	0	Blood							1																																726																														732																																90																				
31	Temple of the Rain	5	0	0	Blood			1																																																																		733																																90																				
32	Temple of the Moon	5	0	0	Blood					1																																																																734																																90																				
33	High Temple of the Sun	5	0	0	Blood	2								3																														725																														735																																90																				
34	House of Fiery Justice	5	0	0	Holy	4				1																																		135																								50%																																						99																				
35	Vanhalla	5	0	0	Air		1						1																															262	261																													948																																18																				
36	Oleg's Alchemical Device	5	0	1	Fire										150																																																																																											6																				
37	The Deepest Cave of the Province	5	0	2	Earth				1																																																																																																	35																				
38	Temple of the Everburning Pyre	5	0	0	Fire	1																																						990																														1970	1966																															6																				
39	The Smouldercone	5	0	0	Fire	3																																																																				923	89																															1																				
40	The Citadel of Frozen Crystal	5	0	0	Water		1	1																																				2576																														1004																																24																				
41	Ravens Vale	5	0	0	Earth				1		1																																	2548	1280																													1003																																30																				
42	Black Forest	5	0	0	Nature					1		1																																																														1028	1011																															57																				
43	The Sacred Swamp	5	0	1	Nature							3																																1859	1850																													761																																59																				
44	The Black Temple	5	0	0	Holy																																							738																														1237																																99																				
45	The Void Gate	5	0	0	Astral																																												20%																									332																																45																				
46	Niefelheim	5	0	2	Air			4			2																																	845																														844																																18														999						
47	Well of Urd	5	0	0	Astral					2	1	1																																784																														281																																41																				
48	The Grove of Gaia	5	0	0	Nature							5																																787																																																														57																				
49	The Grove of Gaia	5	0	0	Nature				1			3																																704																																																														57																				
50	The Heavenly Gate	5	0	0	Astral		1			2																																S	1																															803																																45																				
51	The Celestial City	5	0	0	Holy			1	1																																			791																														793	1892																															92																				
52	The Celestial City	5	0	0	Holy				1		1																																	1577																																																														92																				
53	The Bamboo Grove	5	0	0	Nature																																							1544																														940																																57																				
54	The Gate of Spring and Autumn	5	0	0	Astral	1		2		2	1																															S	1																															941																																45																				
55	Temple of the Dead	5	0	0	Death						3																																	1654																														1655																																53																				
57	Swamps of Pythia	5	0	0	Nature																																							1831																														3660					1840																											59																				
58	Vanhalla	5	0	0	Air		2		1				1																															262																														263	264																															18																				
59	Helhalla	5	0	0	Death								1																															855	1503																													1507	847																															51																				
60	God Forest	5	0	0	Nature	1						1																																889	3097																													890																																57																				
61	God Mountain	5	0	0	Earth				2				1																															876																														894	3652	891	877																													29																				
62	The Temple Marsh	5	0	0	Nature			1			2	2																																164	2236	2237																												2238																																62																				
63	The City of Tombs	5	0	0	Death	1					3																																	1166	3850																													1095																																53																				
64	Temple of the Spheres	5	0	0	Astral					1																																																																670																																46																				
65	The Desert Eye	5	0	0	Astral					3																																																		40%																																														41																				
66	Gold Mine	5	0	0	Earth																																																																																																					29										100										
67	Silver Mine	5	0	0	Earth																																																																																																					29										60										
68	Copper Mine	5	0	0	Earth																																																																																																					29										30										
69	Iron Mine	5	0	0	Earth																																																																																																					29																				
70	The Royal Academy	5	0	0	Earth		1			1																																																																3011	1030	3861																														32																				
71	House of Justice	5	0	0	Holy	1																																						2114	3868																							25%						2199	745																															99																				
72	Palace of Pearls	5	0	0	Water			4				2																																2387																														2397	2805																															24																				
73	Mount Cephalos	5	0	0	Air		2			2																																		1074																														1650	1075																															10																				
74	Lykeion	5	0	0	Earth				2																																																																	1606																																28																				
75	Akademeia	5	0	0	Earth																																																																					1070																																28																				
76	Temple Sanguine	5	0	0	Blood																																																																					1967																																87																				
77	Temple of the Shroud	5	0	0	Holy	3				3																																		1108																														3691	1111																															91																				
78	The Lotus Gardens	5	0	0	Nature					3		2																																1141																														1144																																57																				
79	The Carrion Grove	5	0	0	Nature						1	4																																787																																																														58																				
80	The Carrion Grove	5	0	0	Nature						1	6																																787																																																														58																				
81	The Carrion Grove	5	0	0	Nature						1	9																																787																																																														58																				
82	The Wheel of Pain	5	0	0	Earth																																							1157																																																														31																				
83	Irminsul	5	0	0	Nature				3		1	2																																																														1161																																61																				
84	The Great Cauldron	5	0	0	Blood									2																														1183	1176																													1177	1178																															86																				
85	The Bitter Stream	5	0	0	Death			1			3																																	1185																																																														49																				
86	Steppes of Sauromatia	5	0	0	Death																																							1185																																																														49																				
87	High Temple of the Land	5	0	0	Nature							1																																727																														1190	1194																															62																				
88	High Temple of the Sky and the Rain	5	0	0	Water		1	1																																																																		1191	1907																															24																				
89	Temple of the Moon	5	0	0	Astral					1																																																																1192																																46																				
90	Temple of the Sun	5	0	0	Fire	1																																						725																														1193																																6																				
91	Carnutes	5	0	0	Nature				2	3		1																																1222																														1223	1204																															57																				
92	Temple of the Pure War	5	0	0	Holy		1																																					1247																																																														92																				
93	Mountain of the Mystics	5	0	0	Earth	1			1			1																																1248																																																														29																				
94	Palace of the Eagle Kings	5	0	0	Air		3	1																																				127	1289																													1286																																15																				
95	Mountain of the Oni Kings	5	0	0	Earth	1	1		1		3																																																															1316																																29																				
96	Patala	5	0	0	Earth			2	1																																			1318	1319																																																													35																				
97	The Jeweled City	5	0	0	Earth					1																																																																1320	1321	1322																														37																				
98	Mount Kailasa	5	0	0	Earth				2																																			1327	1328																																																													28																				
99	The Lotus Garden	5	0	0	Nature					2		1	1																																																													1329	1330																															57																				
100	Augurs' Circle	5	0	0	Death						1																																																															1115																																47																				
101	The Grove of Aphros	5	0	0	Nature			1				4	1																															2401																														2399																																67																				
102	Temple of the Land	5	0	0	Blood							1																																726																														732																																90																				
103	High Temple of the Rain	5	0	0	Blood			1																																				1423																														1421	1420																															90																				
104	Temple of the Moon	5	0	0	Blood					1																																																																734																																90																				
105	Temple of the Sun	5	0	0	Blood	1								1																																																												1424																																90																				
106	Mount Shinuyama	5	0	0	Earth	1		1	1		2																																																																																															29																				
107	Tombs of the Oracles	5	0	3	Death						2																																																															1438																																54																				
108	Mines of the Pale Ones	5	0	3	Earth	1			1																																																																																																	35																				
109	Halls of the Oracles	5	0	3	Earth																																																																1					1457	1467	1468																														35																				
110	Roots of the Earth	5	0	0	Earth	1			3																																																																																																	35																				
111	Halls of the Oracles	5	0	0	Earth																																							2189	2188																								1					2506	1459																															35																				
112	The Chamber of the Seal	5	0	0	Death						1																																	1456																																																														54																				
113	Gnipahålan	5	0	0	Death				1		4																																																															1010																																54																				
114	Vanhalla	5	0	0	Air		2						1																															1513																														948																																18																				
115	The Halls of Andvare	5	0	0	Earth				3																																			463																														323																																37																				
116	The Gorge of Ancient Cities	5	0	0	Water			2	1	3																																		1522																														1521	2883																															25																				
117	The Carrion Grove	5	0	0	Nature						1																																	787																														901	709																															58																				
118	The Grove of Gaia	5	0	0	Nature							6																																769																																																														57																				
119	The Smouldercone	5	0	0	Fire	5																																						1661																														1542	1538	1537																														1																				
120	Temple of the All-Consuming Flame	5	0	0	Fire	1																																						1543																														1536																																6																				
121	Temple of the All-Consuming Flame	5	0	0	Fire	1																																						90																																																														6																				
122	The Sibylline Caves	5	0	0	Astral					3		1																																																									1					1557																																47																				
123	The Cerulean Tower	5	0	0	Water																																							1556																														3172																																22																				
124	Gymnasium	5	0	0	Water																																							747																																																														22																				
125	The Enchanted Isle	5	0	0	Nature							1																																																																																														64																				
126	The Coast of Ice and Bones	5	0	0	Water			3			1																																	1630																														1618																																19																				
127	The Forest of Avalon	5	0	0	Nature							1	1																															1648																														1666																																57																				
128	The Basalt City	5	0	0	Earth	1			3																																			1690																														1695																																37																				
129	The Dark Crystal	5	0	0	Water			2																																																																		1702																																25																				
130	The Heavenly Gate	5	0	0	Astral		1			1																																																																1712																																45																				
131	Sri Pada	5	0	0	Air		1				3																																																															1739	1738																															10																				
132	Lanka	5	0	0	Blood							2																																1745	1746	1747																																																												83																				
133	Tir na n'Og	5	0	0	Air								3																															1753																														1754	1773																															10																				
134	Mag Mor	5	0	0	Nature				1			2																																																																																														60																				
135	Mound of Ancient Kings	5	0	0	Glamour							2	3																															849																														856																																72																				
136	Isle of Balor	5	0	0	Water		2	1																																				1817	1801																													1802																																26																				
137	Rath Chimbaith	5	0	0	Air						2		1																															1790																														1791	1792																															13																				
138	The Imperial Capital	5	0	0	Holy																																							763																														765																																91																				
139	Temple of the Spheres	5	0	0	Astral					1																																																																1874																																46																				
140	Grand Cathedral	5	0	0	Holy					1																																																																1961																																99																				
141	Hall of Elders	5	0	0	Astral	1	1			1																																																																1937																																46																				
142	Palace of the Sage King	5	0	0	Holy																																							2000																														2001																																91																				
143	Temple of the Sage King	5	0	0	Holy	1			1	2																																																																1987																																93																				
144	The Twin Cities	5	0	0	Holy						1																																	2025	2026																													2011	2027	2028																														91																				
145	Mount Seir	5	0	0	Earth	1			2	1																																																																																																28																				
146	Gomorrah	5	0	0	Blood									2																														2030																														2031	2032																															85																				
147	Mount Hermon	5	0	0	Earth	2			2	1																																																																																																28																				
148	Campus Sceleris	5	0	0	Death						1																																	809																																																														47																				
149	The House of Water	5	0	0	Water			2	1																																			2176																																																														24																				
150	The First City	5	0	0	Holy																																																																					2269	2181																															91																				
151	The Swamps of Ur	5	0	0	Nature							3																																2962																																																														59																				
152	Temple of Storms and Flames	5	0	0	Blood	2	3							2																														2262																														2266																																87																				
153	Forest of Spider	5	0	0	Nature						1	1	1																															2301	2302	2308																												2295																																57																				
154	Great Mababwe	5	0	0	Holy	1			2																																			2309																														2297	2296																															94																				
155	Novgård	5	0	0	Air	1	1						1																															2349																														2342																																18																				
156	Pine of Skulls	5	0	0	Nature						1	1																																2352																																																														61																				
157	Campus Sceleris	5	0	0	Holy						5																																																																																															93																				
158	Campus Sceleris	5	0	0	Holy						9																																																																																															93																				
159	Campus Sceleris	5	0	0	Holy						13																																																																																															93																				
160	Palace of Pearls	5	0	0	Water			4				1																																1059	2863																													1061	1088	2865																														24																				
161	Palace of the Setting Sun	5	0	0	Holy	1				1																																																																3043	3045																															91																				
162	The Grove of Aphros	5	0	0	Nature			1				3	1																															2401																														2399																																58																				
163	The Grove of Aphros	5	0	0	Nature			2				2																																2401																														2399																																58																				
164	The City of Unfullfilled Dreams	5	0	0	Astral					3			1																																																																																													46																				
165	The Chamber of the Broken Seal	5	0	0	Death						5																																																																																															54																				
166	The Chamber of the Broken Seal	5	0	0	Death						1																																	2508																																																														54																				
167	The Womb of the Earth	5	0	0	Earth			1																																				2492																														2493																																35																				
168	Spire Horn Mountain	5	0	0	Air		1																																					2558																																																														9																				
169	Ravens Vale	5	0	0	Earth				1																																			2559																														2560																																28																				
170	Lake Urmia	5	0	0	Water		1	1		1																																		2592																																																														19																				
171	Mountain of the Everburning Caverns	5	0	0	Fire	1																																						2587																														2629																																1																				
172	Palace of the Sun Kings	5	0	0	Holy	1	1			1																																		2653																														2658	2659																															92																				
173	Tombs of the Sun Kings	5	0	0	Death				1		1																																	2667																														2663																																53																				
174	Cavern of the Sun	5	0	0	Fire	3			1																																			2672																														2684																																7																				
175	House of Knives	5	0	0	Blood						2																																																															2736																																90																				
176	House of Jaguars	5	0	0	Blood																																																																					2736																																90																				
177	The Sacred Cenote	5	0	0	Water			1																																				2730	2731																													2732																																23																				
178	The Flooded City	5	0	0	Water			2	1																																			2729																														2714																																24																				
179	The Cave of Perpetual Darkness	5	0	0	Death						1																																																															2719																																54																				
180	The Flooded City	5	0	0	Water			1	1																																			2747																														2749																																24																				
181	The Obsidian Cavern	5	0	0	Death						2																																	2743																														2754																																54																				
182	Telkhinis	5	0	0	Earth		1	1	3		1																																	2839																														2833	2834	2836																														36																				
183	Telkhinis	5	0	0	Earth		1	1	6		1																																	2839																														2833	2834	2836																														36																				
184	Telkhinis	5	0	0	Earth		1	1	9		1																																	2839																														2833	2834	2836																														36																				
185	Ker-Ys	5	0	0	Water			1	2				2																															2915																														2917	2919	2921																														25																				
186	Great Temple of the Moon	5	0	0	Holy					2																																		2953																														2948	2952																															92																				
187	The Swamps of Ur	5	0	0	Nature							1																																2963																																																														59																				
188	The House of Water	5	0	0	Water			1	1																																																																																																	24																				
189	Pine of Skulls	5	0	0	Nature					1		1																																2992	2997																																																													61																				
190	Oak of Storms	5	0	0	Air		1					1																																																														2999																																14																				
191	Hall of the Dawn	5	0	0	Air	1	1																																																																			3000	3001																															18																				
192	The Royal Academy	5	0	0	Earth																																																																					3010																																32																				
193	The Red River	5	0	0	Fire	1		1																																				3052																																																														5																				
194	City of Gold and Marble	5	0	0	Holy		1		1																																																																	3112	3117																															91														4						
195	Forge of the Cyclopes	5	0	0	Fire	2			2							150																																																										3118																																1																				
196	The Burning Fields	5	0	0	Fire	1			1		1																																																															3139																																2														2						
197	Fortress of the Cyclopes	5	0	0	Earth	1			1																																																																	3138																																32																				
198	The Orichalcum Palace	5	0	0	Holy		1						1																															3159																														3158	3157																															91																				
199	Black Korkyra	5	0	0	Water			1	1																																																																																																	26																				
200	Gold Apple Tree	5	0	0	Fire	1												-5																																																																																								10															50					
201	Orichalcum Mine	5	0	0	Fire																																																																																																					1										200										
202	Shattered Volcano	5	0	0	Fire	1					1																																																																																															2	96	3227	3226																	
203	Telepylos	5	0	0	Earth				1																																			3216																														3225	3228																															32																				
204	The Burning Mountain	5	0	0	Fire	3																																																																																																				1																				
205	Sublime Palace	5	0	0	Holy	1				1																																		3281																														3289																																91																			0	
206	The Great Mirror	5	0	0	Astral					1																																		3280																									1					3286	3285																															46													3							
207	The Onyx Court	5	0	0	Holy				1										4																									3282	3283																													3288	3287																															92																				
208	Fountain of Youth	5	0	0	Water			1										-5																																																																																								23															50					
209	Jannah	5	0	0	Nature	1	1		1																																			3342																														3341																																57																				
210	Great Dam	5	0	0	Water			1																																																																																																		19																				
211	The Vault of Incense and Marvels	5	0	0	Air								1		150																																																																																											10																				
212	Thrymsheim	5	0	2	Air			1																																				3400																														3399																																18														1						
213	The Iron Wood	5	0	0	Nature					1	1	2																																3406	3421	3422																												3409	3414																															58																				
214	The Three Deserts	5	0	0	Fire	1	1				1																																																																																															2											2									
215	Iram of a Thousand Pillars	5	0	0	Holy	1							1																															3463	3477																													3468	3469																															91																				
216	Jannah	5	0	0	Nature							1																																3467																														3466																																57																				
217	City of Brass	5	0	0	Fire	1																																						3464																														3465	3472																															4																				
218	Seminary of Magisters	5	0	0	Earth		1		1																																																																																																	32																				
219	The Cathedral Cavern	5	0	3	Earth				1																																			3593																														3606	3595																															38																				
220	Grand Dolmen	5	0	3	Earth				2																																			3597	3598																													3602	3599																															30																				
221	Mount Anboto	5	0	0	Air		2					1																																																														3603																																10																				
222	The Cathedral of the Emerald	5	0	0	Holy	1																																						3613																														3616																																99																				
223	The Caves of Pyrene	5	0	3	Earth				1																																			3633	3587	3588																												3589	3590																															38																				
224	The Pleasure Orchard	5	0	0	Nature		1					1		2																																																												3622																																57																				
225	Fir Bolg Highlands	5	0	0	Earth																																							1785	1786	1787	3630	3634																										2469	1788																															32																				
226	Nidakettil	5	0	0	Death		1			1	3																																	3677																														3681	3685																															52																				
227	The Sublime Palace	5	0	0	Holy				1	1																																																																3795																																91																				
228	The Cerulean Cathedral	5	0	0	Holy	1				1																																		3789	3790	3791																												3801																																91																				
229	The Veiled City	5	0	0	Glamour	1				1			2																															3819																														3816	3820																															71																				
230	The Senate Palace	5	0	0	Holy	1			1	1		1																																																														3923	3924	3925																														91																				
231	The Void Gate	5	0	0	Astral																																												20%																									3857																																45																				
232	The Hall of Mirrors	5	0	0	Glamour								1																																																								1					3860																																71													3							
233	Great Mine of the Deep	5	0	0	Fire																																																																																																					1										150										
234	Great Mine of the Deep	5	0	0	Fire																																																																																																					1										75										
235	Bhuva Loka	5	0	0	Air		1			2																																																																																																10																				
236	Muspelheim	5	0	0	Fire	1	1																																					3969	3970																													3958	3959	3960																														2																				
237	The Rift of Surtr	5	0	0	Fire	2					1																																	3971																														3961																																1																				
238	The Meltwater Gorge	5	0	0	Water			1																																																																																																		20																				
239	The Shrine Serene	5	0	0	Holy																																							3974																														3975																																91																				
300	The Cave of Storms	5	0	0	Earth		1																																																																																																			35																				
301	The Healing Spring	5	0	0	Water							1																																																			10%																																											23																				
302	The Sacred Mountain	5	0	0	Earth				1																																																																																																	29																				
303	The Grove of Irminsul	5	0	0	Nature							1																																																																																														57																				
304	The Crystal Cavern	5	0	0	Glamour								1																																																																																													68																				
400	Lava Lake	1	0	0	Fire	1		1																																																																																																		5																				
401	Tar Pits	0	0	1	Fire	1																																																																																																				5																				
402	Sun Ridge	0	0	1	Fire	2																																																																																																				3																				
403	Gold-Leafed Tree	1	0	2	Fire	2																																																																																																				10																				
404	Bronze Pillar	0	0	3	Fire	1																																																																																																				3																				
405	Smoking Mountain	1	0	0	Fire	1																																																																																																				1																				
406	Plain of Perpetual Drought	0	0	0	Fire	1																																																																																																				2																				
407	Magus Temple	1	0	1	Fire	1				1										lab																																																																480																						4																				
408	Alchemists Guild	1	0	1	Fire	1			1																																																																											551																						4																				
409	Smoke Forest	1	0	1	Fire	1	1																																																																																																			3																				
410	Rage Wind Heath	1	0	1	Fire	1	1																																																																																																			2																				
411	Candle Marsh	1	0	1	Fire	1		1																																																																																																		3																				
412	Copper Cliff	1	0	1	Fire	1			1																																																																																																	0																				
413	Stargazers Cliff	1	0	1	Fire	1				1																																																																																																0																				
414	Desert of Bones	0	0	1	Fire	1					1																																																																									2245																						2																				
415	Lantern Forest	1	0	1	Fire	1						1																																																																																														3																				
416	Shimmering Haze	1	0	1	Fire	1							1																																																																																													3																				
417	Orichalcum Mine	1	0	2	Fire																																																																																																					1	77	3159								200										
418	Volcano	2	0	0	Fire	3																																																																																																				1																				
419	Solar Lens	2	0	1	Fire	1																																				F	3																																																															5																				
420	Solar Circle	2	0	2	Fire	1																																																				20%																																																5																				
421	Tower of the Golden Order	2	0	1	Fire	3				2										lab																																																																101																						4																				
422	Tower of the Golden Order	2	0	1	Fire	2				3										lab																																																																101																						4																				
423	Tower of the Golden Order	2	0	1	Fire	2				2										lab																																																																101																						4																				
424	Academy of Magic	2	0	1	Fire	1														lab																																																																3493	3492																					4																				
425	Academy of High Magics	2	0	2	Fire	2				1										lab																																																																3502	3493	3492																				4																				
